,title,date,article_id,url,main_topic,all_topics,authors,year
17,Investigating Entropy for Extractive Document Summarization,2021-09-22 17:54:30+00:00,2109.10886v2,http://arxiv.org/abs/2109.10886v2,cs.IR,cs.IR,Alka Khurana;Vasudha Bhatnagar,2021
18,"An Empirical Survey on Long Document Summarization: Datasets, Models and Metrics",2022-07-03 02:57:22+00:00,2207.00939v1,http://arxiv.org/abs/2207.00939v1,cs.CL,cs.CL,Huan Yee Koh;Jiaxin Ju;Ming Liu;Shirui Pan,2022
19,Automatic text summarization: What has been done and what has to be done,2019-04-01 10:22:42+00:00,1904.00688v1,http://arxiv.org/abs/1904.00688v1,cs.CL,cs.CL,Abdelkrime Aries;Djamel eddine Zegour;Walid Khaled Hidouci,2019
20,Neural Label Search for Zero-Shot Multi-Lingual Extractive Summarization,2022-04-28 14:02:16+00:00,2204.13512v2,http://arxiv.org/abs/2204.13512v2,cs.CL,cs.CL;cs.AI,Ruipeng Jia;Xingxing Zhang;Yanan Cao;Shi Wang;Zheng Lin;Furu Wei,2022
21,A Data-driven Latent Semantic Analysis for Automatic Text Summarization using LDA Topic Modelling,2022-07-23 11:04:03+00:00,2207.14687v6,http://arxiv.org/abs/2207.14687v6,cs.IR,cs.IR;cs.LG,Daniel F. O. Onah;Elaine L. L. Pang;Mahmoud El-Haj,2022
22,X-SCITLDR: Cross-Lingual Extreme Summarization of Scholarly Documents,2022-05-30 12:31:28+00:00,2205.15051v1,http://arxiv.org/abs/2205.15051v1,cs.CL,cs.CL,Sotaro Takeshita;Tommaso Green;Niklas Friedrich;Kai Eckert;Simone Paolo Ponzetto,2022
23,Adapting the Neural Encoder-Decoder Framework from Single to Multi-Document Summarization,2018-08-19 14:43:09+00:00,1808.06218v2,http://arxiv.org/abs/1808.06218v2,cs.CL,cs.CL,Logan Lebanoff;Kaiqiang Song;Fei Liu,2018
24,Deep Learning Models for Automatic Summarization,2020-05-25 09:12:37+00:00,2005.11988v1,http://arxiv.org/abs/2005.11988v1,cs.CL,cs.CL;cs.LG,Pirmin Lemberger,2020
25,Automatic Text Summarization of Legal Cases: A Hybrid Approach,2019-08-24 10:05:40+00:00,1908.09119v1,http://arxiv.org/abs/1908.09119v1,cs.CL,cs.CL;cs.IR;68T50,Varun Pandya,2019
26,Dataset for Automatic Summarization of Russian News,2020-06-19 10:44:06+00:00,2006.11063v4,http://arxiv.org/abs/2006.11063v4,cs.CL,cs.CL,Ilya Gusev,2020
27,Dimensionality on Summarization,2015-07-01 12:39:50+00:00,1507.00209v1,http://arxiv.org/abs/1507.00209v1,cs.CL,cs.CL;cs.IR,Hai Zhuge,2015
28,Abstractive Dialog Summarization with Semantic Scaffolds,2019-10-02 08:22:03+00:00,1910.00825v1,http://arxiv.org/abs/1910.00825v1,cs.CL,cs.CL,Lin Yuan;Zhou Yu,2019
29,CREATIVESUMM: Shared Task on Automatic Summarization for Creative Writing,2022-11-10 21:31:03+00:00,2211.05886v2,http://arxiv.org/abs/2211.05886v2,cs.CL,cs.CL,Divyansh Agarwal;Alexander R. Fabbri;Simeng Han;Wojciech Kryściński;Faisal Ladhak;Bryan Li;Kathleen McKeown;Dragomir Radev;Tianyi Zhang;Sam Wiseman,2022
30,SNaC: Coherence Error Detection for Narrative Summarization,2022-05-19 16:01:47+00:00,2205.09641v2,http://arxiv.org/abs/2205.09641v2,cs.CL,cs.CL,Tanya Goyal;Junyi Jessy Li;Greg Durrett,2022
31,Align then Summarize: Automatic Alignment Methods for Summarization Corpus Creation,2020-07-15 17:03:34+00:00,2007.07841v1,http://arxiv.org/abs/2007.07841v1,cs.CL,cs.CL,Paul Tardy;David Janiszek;Yannick Estève;Vincent Nguyen,2020
32,Domain Adaptation with Pre-trained Transformers for Query Focused Abstractive Text Summarization,2021-12-22 05:34:56+00:00,2112.11670v1,http://arxiv.org/abs/2112.11670v1,cs.CL,cs.CL;cs.AI;cs.LG,Md Tahmid Rahman Laskar;Enamul Hoque;Jimmy Xiangji Huang,2021
33,Knowledge-guided Unsupervised Rhetorical Parsing for Text Summarization,2019-10-14 04:48:16+00:00,1910.05915v1,http://arxiv.org/abs/1910.05915v1,cs.CL,cs.CL;cs.AI,Shengluan Hou;Ruqian Lu,2019
34,Conceptual Text Summarizer: A new model in continuous vector space,2017-10-30 14:55:25+00:00,1710.10994v3,http://arxiv.org/abs/1710.10994v3,cs.CL,cs.CL;cs.IR,Mohammad Ebrahim Khademi;Mohammad Fakhredanesh;Seyed Mojtaba Hoseini,2017
35,An Exploration of Post-Editing Effectiveness in Text Summarization,2022-06-13 18:00:02+00:00,2206.06383v1,http://arxiv.org/abs/2206.06383v1,cs.CL,cs.CL;cs.AI;cs.HC,Vivian Lai;Alison Smith-Renner;Ke Zhang;Ruijia Cheng;Wenjuan Zhang;Joel Tetreault;Alejandro Jaimes,2022
36,NLP Driven Ensemble Based Automatic Subtitle Generation and Semantic Video Summarization Technique,2019-04-22 06:32:15+00:00,1904.09740v1,http://arxiv.org/abs/1904.09740v1,cs.CV,cs.CV,VB Aswin;Mohammed Javed;Parag Parihar;K Aswanth;CR Druval;Anpam Dagar;CV Aravinda,2019
37,Graph-based Semantical Extractive Text Analysis,2022-12-19 18:30:26+00:00,2212.09701v1,http://arxiv.org/abs/2212.09701v1,cs.CL,cs.CL;cs.LG,Mina Samizadeh,2022
38,A Noisy-Channel Model for Document Compression,2009-07-04 22:26:47+00:00,0907.0806v1,http://arxiv.org/abs/0907.0806v1,cs.CL,cs.CL,Hal Daumé III;Daniel Marcu,2009
39,Robust Deep Reinforcement Learning for Extractive Legal Summarization,2021-11-13 17:27:49+00:00,2111.07158v2,http://arxiv.org/abs/2111.07158v2,cs.CL,cs.CL;cs.AI,Duy-Hung Nguyen;Bao-Sinh Nguyen;Nguyen Viet Dung Nghiem;Dung Tien Le;Mim Amina Khatun;Minh-Tien Nguyen;Hung Le,2021
40,EASE: Extractive-Abstractive Summarization with Explanations,2021-05-14 17:45:06+00:00,2105.06982v1,http://arxiv.org/abs/2105.06982v1,cs.CL,cs.CL,Haoran Li;Arash Einolghozati;Srinivasan Iyer;Bhargavi Paranjape;Yashar Mehdad;Sonal Gupta;Marjan Ghazvininejad,2021
41,Meeting Summarization with Pre-training and Clustering Methods,2021-11-16 03:14:40+00:00,2111.08210v1,http://arxiv.org/abs/2111.08210v1,cs.CL,cs.CL,Andras Huebner;Wei Ji;Xiang Xiao,2021
42,The method of automatic summarization from different sources,2019-05-04 02:56:14+00:00,1905.02623v1,http://arxiv.org/abs/1905.02623v1,cs.CL,cs.CL;cs.IR,Nataliya Shakhovska;Taras Cherna,2019
43,Factual Consistency Evaluation for Text Summarization via Counterfactual Estimation,2021-08-30 11:48:41+00:00,2108.13134v2,http://arxiv.org/abs/2108.13134v2,cs.CL,cs.CL,Yuexiang Xie;Fei Sun;Yang Deng;Yaliang Li;Bolin Ding,2021
44,Improved Spoken Document Summarization with Coverage Modeling Techniques,2016-01-20 08:26:07+00:00,1601.05194v1,http://arxiv.org/abs/1601.05194v1,cs.CL,cs.CL;cs.IR,Kuan-Yu Chen;Shih-Hung Liu;Berlin Chen;Hsin-Min Wang,2016
45,An Enhanced MeanSum Method For Generating Hotel Multi-Review Summarizations,2020-12-07 13:16:01+00:00,2012.03656v2,http://arxiv.org/abs/2012.03656v2,cs.CL,cs.CL;cs.AI,Saibo Geng;Diego Antognini,2020
46,Text Summarization Techniques: A Brief Survey,2017-07-07 16:55:56+00:00,1707.02268v3,http://arxiv.org/abs/1707.02268v3,cs.CL,cs.CL,Mehdi Allahyari;Seyedamin Pouriyeh;Mehdi Assefi;Saeid Safaei;Elizabeth D. Trippe;Juan B. Gutierrez;Krys Kochut,2017
47,Arabic text summarization based on latent semantic analysis to enhance arabic documents clustering,2013-02-06 23:24:37+00:00,1302.1612v1,http://arxiv.org/abs/1302.1612v1,cs.IR,cs.IR;cs.CL,Hanane Froud;Abdelmonaime Lachkar;Said Alaoui Ouatik,2013
48,Distraction-Based Neural Networks for Document Summarization,2016-10-26 18:57:00+00:00,1610.08462v1,http://arxiv.org/abs/1610.08462v1,cs.CL,cs.CL,Qian Chen;Xiaodan Zhu;Zhenhua Ling;Si Wei;Hui Jiang,2016
49,Monolingual versus Multilingual BERTology for Vietnamese Extractive Multi-Document Summarization,2021-08-31 10:54:32+00:00,2108.13741v3,http://arxiv.org/abs/2108.13741v3,cs.CL,cs.CL;cs.AI,Huy Quoc To;Kiet Van Nguyen;Ngan Luu-Thuy Nguyen;Anh Gia-Tuan Nguyen,2021
50,Abstractive Text Summarization by Incorporating Reader Comments,2018-12-13 13:13:23+00:00,1812.05407v1,http://arxiv.org/abs/1812.05407v1,cs.CL,cs.CL;cs.AI,Shen Gao;Xiuying Chen;Piji Li;Zhaochun Ren;Lidong Bing;Dongyan Zhao;Rui Yan,2018
51,Transformer Based Implementation for Automatic Book Summarization,2023-01-17 18:18:51+00:00,2301.07057v1,http://arxiv.org/abs/2301.07057v1,cs.CL,cs.CL;cs.AI;cs.LG,Siddhant Porwal;Laxmi Bewoor;Vivek Deshpande,2023
52,Fine-tuning GPT-3 for Russian Text Summarization,2021-08-07 19:01:40+00:00,2108.03502v1,http://arxiv.org/abs/2108.03502v1,cs.CL,cs.CL,Alexandr Nikolich;Arina Puchkova,2021
53,Leveraging Word Embeddings for Spoken Document Summarization,2015-06-14 09:18:36+00:00,1506.04365v1,http://arxiv.org/abs/1506.04365v1,cs.CL,cs.CL;cs.AI,Kuan-Yu Chen;Shih-Hung Liu;Hsin-Min Wang;Berlin Chen;Hsin-Hsi Chen,2015
54,Neural Related Work Summarization with a Joint Context-driven Attention Mechanism,2019-01-28 03:00:06+00:00,1901.09492v1,http://arxiv.org/abs/1901.09492v1,cs.CL,cs.CL;cs.AI;68T50,Yongzhen Wang;Xiaozhong Liu;Zheng Gao,2019
55,"Un résumeur à base de graphes, indépéndant de la langue",2015-01-06 17:27:40+00:00,1501.01243v1,http://arxiv.org/abs/1501.01243v1,cs.CL,cs.CL,Juan-Manuel Torres-Moreno;Javier Ramirez;Iria da Cunha,2015
56,The Effect of the Multi-Layer Text Summarization Model on the Efficiency and Relevancy of the Vector Space-based Information Retrieval,2020-04-18 00:18:14+00:00,2004.13136v1,http://arxiv.org/abs/2004.13136v1,cs.IR,cs.IR,Ahmad Hussein Ababneh;Joan Lu;Qiang Xu,2020
57,What Makes a Good and Useful Summary? Incorporating Users in Automatic Summarization Research,2020-12-14 15:12:35+00:00,2012.07619v3,http://arxiv.org/abs/2012.07619v3,cs.CL,cs.CL;cs.AI;cs.HC;cs.IR,Maartje ter Hoeve;Julia Kiseleva;Maarten de Rijke,2020
58,Generalized minimum dominating set and application in automatic text summarization,2016-02-16 07:43:29+00:00,1602.04930v1,http://arxiv.org/abs/1602.04930v1,cs.IR,cs.IR;cond-mat.stat-mech;cs.CL;physics.soc-ph,Yi-Zhi Xu;Hai-Jun Zhou,2016
59,"Demystifying Multi-Faceted Video Summarization: Tradeoff Between Diversity,Representation, Coverage and Importance",2019-01-03 14:03:37+00:00,1901.01153v1,http://arxiv.org/abs/1901.01153v1,cs.CV,cs.CV,Vishal Kaushal;Rishabh Iyer;Khoshrav Doctor;Anurag Sahoo;Pratik Dubal;Suraj Kothawade;Rohan Mahadev;Kunal Dargan;Ganesh Ramakrishnan,2019
60,Unsupervised Abstractive Dialogue Summarization for Tete-a-Tetes,2020-09-15 03:27:52+00:00,2009.06851v1,http://arxiv.org/abs/2009.06851v1,cs.CL,cs.CL;cs.LG;stat.ML,Xinyuan Zhang;Ruiyi Zhang;Manzil Zaheer;Amr Ahmed,2020
61,EmailSum: Abstractive Email Thread Summarization,2021-07-30 15:13:14+00:00,2107.14691v1,http://arxiv.org/abs/2107.14691v1,cs.CL,cs.CL;cs.AI,Shiyue Zhang;Asli Celikyilmaz;Jianfeng Gao;Mohit Bansal,2021
62,MultiGBS: A multi-layer graph approach to biomedical summarization,2020-08-27 04:22:37+00:00,2008.11908v2,http://arxiv.org/abs/2008.11908v2,cs.IR,"cs.IR;cs.LG;68R10, 68U15;H.3; I.7; J.3; E.1",Ensieh Davoodijam;Nasser Ghadiri;Maryam Lotfi Shahreza;Fabio Rinaldi,2020
63,Indexing of Arabic documents automatically based on lexical analysis,2012-05-08 06:52:15+00:00,1205.1602v1,http://arxiv.org/abs/1205.1602v1,cs.IR,cs.IR,Abdulrahman Al Molijy;Ismail Hmeidi;Izzat Alsmadi,2012
64,On Faithfulness and Factuality in Abstractive Summarization,2020-05-02 00:09:16+00:00,2005.00661v1,http://arxiv.org/abs/2005.00661v1,cs.CL,cs.CL,Joshua Maynez;Shashi Narayan;Bernd Bohnet;Ryan McDonald,2020
65,On the Trade-off between Redundancy and Local Coherence in Summarization,2022-05-20 14:10:28+00:00,2205.10192v1,http://arxiv.org/abs/2205.10192v1,cs.CL,cs.CL,Ronald Cardenas;Matthias Galle;Shay B. Cohen,2022
66,SQuALITY: Building a Long-Document Summarization Dataset the Hard Way,2022-05-23 17:02:07+00:00,2205.11465v1,http://arxiv.org/abs/2205.11465v1,cs.CL,cs.CL;cs.AI,Alex Wang;Richard Yuanzhe Pang;Angelica Chen;Jason Phang;Samuel R. Bowman,2022
67,Leveraging Non-dialogue Summaries for Dialogue Summarization,2022-10-17 23:34:31+00:00,2210.09474v1,http://arxiv.org/abs/2210.09474v1,cs.CL,cs.CL;cs.AI,Seongmin Park;Dongchan Shin;Jihwa Lee,2022
68,What Have We Achieved on Text Summarization?,2020-10-09 12:39:33+00:00,2010.04529v1,http://arxiv.org/abs/2010.04529v1,cs.CL,cs.CL,Dandan Huang;Leyang Cui;Sen Yang;Guangsheng Bao;Kun Wang;Jun Xie;Yue Zhang,2020
69,Gold Standard Online Debates Summaries and First Experiments Towards Automatic Summarization of Online Debate Data,2017-08-15 16:52:22+00:00,1708.04592v1,http://arxiv.org/abs/1708.04592v1,cs.CL,cs.CL;cs.AI;cs.IR,Nattapong Sanchan;Ahmet Aker;Kalina Bontcheva,2017
70,"Summaformers @ LaySumm 20, LongSumm 20",2021-01-10 13:48:12+00:00,2101.03553v1,http://arxiv.org/abs/2101.03553v1,cs.CL,cs.CL;cs.AI;cs.IR;cs.LG,Sayar Ghosh Roy;Nikhil Pinnaparaju;Risubh Jain;Manish Gupta;Vasudeva Varma,2021
71,Small-world networks for summarization of biomedical articles,2019-03-07 12:12:17+00:00,1903.02861v1,http://arxiv.org/abs/1903.02861v1,cs.CL,cs.CL;cs.IR,Milad Moradi,2019
72,Controlled Text Reduction,2022-10-24 17:59:03+00:00,2210.13449v1,http://arxiv.org/abs/2210.13449v1,cs.CL,cs.CL,Aviv Slobodkin;Paul Roit;Eran Hirsch;Ori Ernst;Ido Dagan,2022
73,News Summarization and Evaluation in the Era of GPT-3,2022-09-26 01:04:52+00:00,2209.12356v1,http://arxiv.org/abs/2209.12356v1,cs.CL,cs.CL,Tanya Goyal;Junyi Jessy Li;Greg Durrett,2022
74,Mapping the Design Space of Human-AI Interaction in Text Summarization,2022-06-29 19:03:25+00:00,2206.14863v1,http://arxiv.org/abs/2206.14863v1,cs.HC,cs.HC,Ruijia Cheng;Alison Smith-Renner;Ke Zhang;Joel R. Tetreault;Alejandro Jaimes,2022
75,Proposition-Level Clustering for Multi-Document Summarization,2021-12-16 10:34:22+00:00,2112.08770v2,http://arxiv.org/abs/2112.08770v2,cs.CL,cs.CL;cs.LG,Ori Ernst;Avi Caciularu;Ori Shapira;Ramakanth Pasunuru;Mohit Bansal;Jacob Goldberger;Ido Dagan,2021
76,User-Oriented Summaries Using a PSO Based Scoring Optimization Method,2019-06-26 18:27:54+00:00,1906.11290v1,http://arxiv.org/abs/1906.11290v1,cs.LG,cs.LG;cs.IR;cs.NE;stat.ML,Augusto Villa-Monte;Laura Lanzarini;Aurelio F. Bariviera;José A. Olivas,2019
77,Screen2Words: Automatic Mobile UI Summarization with Multimodal Learning,2021-08-07 03:01:23+00:00,2108.03353v1,http://arxiv.org/abs/2108.03353v1,cs.HC,cs.HC;cs.AI;cs.LG,Bryan Wang;Gang Li;Xin Zhou;Zhourong Chen;Tovi Grossman;Yang Li,2021
78,Étude de l'informativité des transcriptions : une approche basée sur le résumé automatique,2018-09-04 14:07:40+00:00,1809.00994v1,http://arxiv.org/abs/1809.00994v1,cs.CL,cs.CL,Carlos-Emiliano González-Gallardo;Malek Hajjem;Eric SanJuan;Juan-Manuel Torres-Moreno,2018
79,DIFFQG: Generating Questions to Summarize Factual Changes,2023-03-01 05:45:48+00:00,2303.00242v1,http://arxiv.org/abs/2303.00242v1,cs.CL,cs.CL,Jeremy R. Cole;Palak Jain;Julian Martin Eisenschlos;Michael J. Q. Zhang;Eunsol Choi;Bhuwan Dhingra,2023
80,Cross-lingual Transfer of Abstractive Summarizer to Less-resource Language,2020-12-08 09:30:38+00:00,2012.04307v2,http://arxiv.org/abs/2012.04307v2,cs.CL,cs.CL;cs.LG,Aleš Žagar;Marko Robnik-Šikonja,2020
81,Pre-training for Abstractive Document Summarization by Reinstating Source Text,2020-04-04 05:06:26+00:00,2004.01853v4,http://arxiv.org/abs/2004.01853v4,cs.CL,cs.CL,Yanyan Zou;Xingxing Zhang;Wei Lu;Furu Wei;Ming Zhou,2020
82,Summarization with Graphical Elements,2022-04-15 17:16:41+00:00,2204.07551v2,http://arxiv.org/abs/2204.07551v2,cs.CL,cs.CL;cs.AI,Maartje ter Hoeve;Julia Kiseleva;Maarten de Rijke,2022
83,PDSum: Prototype-driven Continuous Summarization of Evolving Multi-document Sets Stream,2023-02-10 23:43:46+00:00,2302.05550v1,http://arxiv.org/abs/2302.05550v1,cs.IR,cs.IR;cs.AI;cs.LG;cs.SI,Susik Yoon;Hou Pong Chan;Jiawei Han,2023
84,Detecting (Un)Important Content for Single-Document News Summarization,2017-02-26 08:07:26+00:00,1702.07998v1,http://arxiv.org/abs/1702.07998v1,cs.CL,cs.CL,Yinfei Yang;Forrest Sheng Bao;Ani Nenkova,2017
85,Leveraging BERT for Extractive Text Summarization on Lectures,2019-06-07 19:50:30+00:00,1906.04165v1,http://arxiv.org/abs/1906.04165v1,cs.CL,cs.CL;cs.LG;cs.SD;eess.AS;stat.ML,Derek Miller,2019
86,CoRank: A clustering cum graph ranking approach for extractive summarization,2021-06-01 16:27:43+00:00,2106.00619v1,http://arxiv.org/abs/2106.00619v1,cs.SI,cs.SI,Mohd Khizir Siddiqui;Amreen Ahmad;Om Pal;Tanvir Ahmad,2021
87,Automatic Text Summarization Approaches to Speed up Topic Model Learning Process,2017-03-20 08:19:43+00:00,1703.06630v1,http://arxiv.org/abs/1703.06630v1,cs.IR,cs.IR;cs.CL,Mohamed Morchid;Juan-Manuel Torres-Moreno;Richard Dufour;Javier Ramírez-Rodríguez;Georges Linarès,2017
88,This Email Could Save Your Life: Introducing the Task of Email Subject Line Generation,2019-06-08 18:31:33+00:00,1906.03497v1,http://arxiv.org/abs/1906.03497v1,cs.CL,cs.CL,Rui Zhang;Joel Tetreault,2019
89,Improving Graph-Based Text Representations with Character and Word Level N-grams,2022-10-12 08:07:54+00:00,2210.05999v1,http://arxiv.org/abs/2210.05999v1,cs.CL,cs.CL,Wenzhe Li;Nikolaos Aletras,2022
90,Statistical Automatic Summarization in Organic Chemistry,2009-05-07 20:21:45+00:00,0905.1130v1,http://arxiv.org/abs/0905.1130v1,cs.IR,cs.IR;cs.CL,Florian Boudin;Patricia Velazquez-Morales;Juan-Manuel Torres-Moreno,2009
91,Text Summarization with Latent Queries,2021-05-31 21:14:58+00:00,2106.00104v1,http://arxiv.org/abs/2106.00104v1,cs.CL,cs.CL;cs.LG,Yumo Xu;Mirella Lapata,2021
92,Text Summarization using Deep Learning and Ridge Regression,2016-12-26 07:17:30+00:00,1612.08333v4,http://arxiv.org/abs/1612.08333v4,cs.CL,cs.CL,Karthik Bangalore Mani,2016
93,SummEval: Re-evaluating Summarization Evaluation,2020-07-24 16:25:19+00:00,2007.12626v4,http://arxiv.org/abs/2007.12626v4,cs.CL,cs.CL,Alexander R. Fabbri;Wojciech Kryściński;Bryan McCann;Caiming Xiong;Richard Socher;Dragomir Radev,2020
94,Improving Multi-Document Summarization via Text Classification,2016-11-28 16:53:06+00:00,1611.09238v1,http://arxiv.org/abs/1611.09238v1,cs.CL,cs.CL;cs.IR,Ziqiang Cao;Wenjie Li;Sujian Li;Furu Wei,2016
95,Comparative Document Analysis for Large Text Corpora,2015-10-25 01:22:05+00:00,1510.07197v1,http://arxiv.org/abs/1510.07197v1,cs.IR,cs.IR,Xiang Ren;Yuanhua Lv;Kuansan Wang;Jiawei Han,2015
96,CrossSum: Beyond English-Centric Cross-Lingual Abstractive Text Summarization for 1500+ Language Pairs,2021-12-16 11:40:36+00:00,2112.08804v2,http://arxiv.org/abs/2112.08804v2,cs.CL,cs.CL,Abhik Bhattacharjee;Tahmid Hasan;Wasi Uddin Ahmad;Yuan-Fang Li;Yong-Bin Kang;Rifat Shahriyar,2021
97,Controllable Abstractive Summarization,2017-11-14 17:30:26+00:00,1711.05217v2,http://arxiv.org/abs/1711.05217v2,cs.CL,cs.CL,Angela Fan;David Grangier;Michael Auli,2017
98,Understanding Translationese in Cross-Lingual Summarization,2022-12-14 13:41:49+00:00,2212.07220v1,http://arxiv.org/abs/2212.07220v1,cs.CL,cs.CL;cs.AI,Jiaan Wang;Fandong Meng;Tingyi Zhang;Yunlong Liang;Jiarong Xu;Zhixu Li;Jie Zhou,2022
99,Neural Abstractive Text Summarizer for Telugu Language,2021-01-18 15:22:50+00:00,2101.07120v1,http://arxiv.org/abs/2101.07120v1,cs.CL,cs.CL;cs.LG,Mohan Bharath B;Aravindh Gowtham B;Akhil M,2021
100,Beyond Stemming and Lemmatization: Ultra-stemming to Improve Automatic Text Summarization,2012-09-14 08:45:26+00:00,1209.3126v1,http://arxiv.org/abs/1209.3126v1,cs.IR,cs.IR;cs.CL,Juan-Manuel Torres-Moreno,2012
101,GLEAKE: Global and Local Embedding Automatic Keyphrase Extraction,2020-05-19 20:24:02+00:00,2005.09740v1,http://arxiv.org/abs/2005.09740v1,cs.IR,cs.IR;cs.CL,Javad Rafiei Asl;Juan M. Banda,2020
102,DOC2PPT: Automatic Presentation Slides Generation from Scientific Documents,2021-01-28 03:21:17+00:00,2101.11796v4,http://arxiv.org/abs/2101.11796v4,cs.CV,cs.CV,Tsu-Jui Fu;William Yang Wang;Daniel McDuff;Yale Song,2021
103,Towards automatic extractive text summarization of A-133 Single Audit reports with machine learning,2019-11-08 14:49:25+00:00,1911.06197v1,http://arxiv.org/abs/1911.06197v1,cs.CL,cs.CL;cs.LG;stat.ML,Vivian T. Chou;LeAnna Kent;Joel A. Góngora;Sam Ballerini;Carl D. Hoover,2019
104,Universal Evasion Attacks on Summarization Scoring,2022-10-25 18:25:47+00:00,2210.14260v1,http://arxiv.org/abs/2210.14260v1,cs.CL,cs.CL,Wenchuan Mu;Kwan Hui Lim,2022
105,Extractive Text Summarization using Neural Networks,2018-02-27 19:48:51+00:00,1802.10137v1,http://arxiv.org/abs/1802.10137v1,cs.CL,cs.CL,Aakash Sinha;Abhishek Yadav;Akshay Gahlot,2018
106,Enriching Transformers with Structured Tensor-Product Representations for Abstractive Summarization,2021-06-02 17:32:33+00:00,2106.01317v1,http://arxiv.org/abs/2106.01317v1,cs.CL,cs.CL;cs.AI;cs.LG,Yichen Jiang;Asli Celikyilmaz;Paul Smolensky;Paul Soulos;Sudha Rao;Hamid Palangi;Roland Fernandez;Caitlin Smith;Mohit Bansal;Jianfeng Gao,2021
